#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
133,Jake Meyers,HOU,110,476,10,55,47,13,8.10%,20.90%,0.127,0.304,0.251,0.319,0.378,0.307,97,0.4,-1.3,6.1,2.2
134,Brenton Doyle,COL,138,595,19,69,70,21,6.30%,26.50%,0.163,0.31,0.248,0.297,0.411,0.306,82,1.7,-11.2,12.5,2.2
135,Ozzie Albies,ATL,146,630,19,75,74,11,7.50%,14.80%,0.158,0.271,0.254,0.315,0.412,0.315,101,0.2,1.1,-0.9,2.2
136,Nolan Arenado,ARI,141,609,18,65,77,4,7.00%,14.10%,0.15,0.27,0.254,0.309,0.404,0.308,96,-0.9,-4.0,4.6,2.1
137,Alec Burleson,STL,141,609,22,70,80,6,7.00%,13.90%,0.17,0.29,0.276,0.329,0.446,0.335,117,-1.1,11.3,-10.7,2.1
138,Randy Arozarena,SEA,157,679,23,84,79,25,9.70%,26.40%,0.171,0.292,0.233,0.329,0.404,0.323,114,0.0,10.8,-13.5,2.1
139,Tommy Edman,LAD,115,497,15,62,59,10,6.50%,17.60%,0.156,0.278,0.25,0.305,0.407,0.309,98,0.9,-0.2,4.4,2.1
140,Luis Arraez,SFG,144,623,6,73,58,9,5.00%,4.20%,0.093,0.313,0.308,0.346,0.401,0.326,111,-0.3,8.1,-8.1,2.1
141,J.T. Realmuto,PHI,126,500,15,56,58,7,6.60%,24.20%,0.16,0.309,0.251,0.311,0.411,0.314,99,-0.4,-1.0,9.8,2.1
142,Colt Keith,DET,115,497,15,62,62,3,9.20%,21.00%,0.169,0.31,0.264,0.334,0.432,0.333,113,-0.1,7.7,-4.2,2.1
143,Matt Wallner,MIN,110,476,22,60,65,4,10.70%,30.80%,0.222,0.304,0.234,0.334,0.455,0.343,120,-0.9,10.2,-6.0,2.1
144,Lars Nootbaar,STL,117,504,15,63,52,6,12.30%,20.10%,0.163,0.286,0.247,0.343,0.409,0.33,114,-0.4,7.7,-4.1,2.1
145,Miguel Vargas,CHW,139,602,18,76,67,8,11.00%,18.80%,0.166,0.267,0.237,0.327,0.403,0.321,105,-0.5,3.2,-3.6,2.1
146,Freddy Fermin,SDP,122,480,11,48,49,3,6.80%,19.80%,0.12,0.283,0.242,0.297,0.361,0.289,87,-0.6,-8.0,12.2,2.1
147,Sal Frelick,MIL,118,511,8,60,53,15,7.90%,13.90%,0.116,0.303,0.271,0.335,0.387,0.318,104,0.7,3.0,0.2,2.1
148,Teoscar Hernandez,LAD,138,595,29,75,92,6,6.40%,26.40%,0.212,0.312,0.261,0.314,0.473,0.337,117,-1.1,10.7,-10.4,2.1
149,Tyler Soderstrom,ATH,136,588,26,71,87,5,8.40%,22.70%,0.202,0.293,0.256,0.325,0.458,0.337,114,-0.8,8.5,-8.7,2.1
150,Harrison Bader,SFG,123,532,15,62,59,15,6.40%,23.60%,0.143,0.307,0.251,0.309,0.395,0.308,99,-0.2,-1.1,3.2,2.0
151,Jackson Holliday,BAL,107,462,13,61,48,12,10.30%,21.60%,0.155,0.297,0.249,0.331,0.403,0.322,108,-0.5,3.8,-0.4,2.0
152,TJ Friedl,CIN,144,623,15,76,61,13,10.30%,16.90%,0.135,0.277,0.245,0.337,0.38,0.319,99,0.4,-0.2,-1.3,2.0
153,Anthony Volpe,NYY,109,469,14,54,53,17,7.80%,23.90%,0.163,0.275,0.228,0.293,0.391,0.298,91,1.2,-3.8,6.6,1.9
154,Spencer Torkelson,DET,147,637,28,80,88,2,10.80%,25.90%,0.21,0.279,0.235,0.324,0.445,0.332,113,-0.6,9.0,-12.0,1.9
155,Evan Carter,TEX,110,476,12,58,51,19,10.40%,22.30%,0.149,0.293,0.24,0.331,0.389,0.317,105,1.3,3.8,-1.4,1.9
156,Carlos Narvaez,BOS,107,423,11,46,46,3,9.90%,26.00%,0.147,0.29,0.228,0.311,0.375,0.302,89,-0.8,-6.5,9.4,1.9
157,Addison Barger,TOR,120,518,20,64,72,4,8.60%,23.50%,0.194,0.289,0.246,0.316,0.44,0.326,110,-0.6,5.2,-4.5,1.9
158,Spencer Horwitz,PIT,115,497,11,59,54,2,11.40%,18.10%,0.149,0.314,0.269,0.359,0.418,0.341,117,-1.2,9.1,-7.2,1.9
159,Vinnie Pasquantino,KCR,147,637,28,74,94,1,8.60%,14.80%,0.206,0.265,0.26,0.328,0.466,0.34,116,-1.8,10.0,-13.8,1.8
160,Carson Kelly,CHC,94,373,12,42,43,2,9.50%,20.40%,0.154,0.266,0.233,0.313,0.387,0.308,98,-0.9,-1.7,8.7,1.8
161,Heliot Ramos,SFG,147,637,22,77,78,7,7.70%,23.60%,0.168,0.309,0.257,0.325,0.425,0.326,111,-1.0,7.2,-10.6,1.8
162,Ramon Laureano,SDP,128,553,21,68,70,9,7.40%,27.10%,0.185,0.302,0.242,0.311,0.427,0.32,108,-0.9,4.6,-5.3,1.8
163,Brandon Lowe,PIT,126,546,23,69,68,4,8.20%,25.70%,0.19,0.291,0.243,0.31,0.434,0.321,104,-0.8,1.5,-2.3,1.8
164,Christian Yelich,MIL,146,630,20,81,80,17,11.10%,24.30%,0.158,0.317,0.256,0.343,0.414,0.33,112,1.4,10.5,-14.2,1.8
165,Carter Jensen,KCR,99,401,12,46,47,4,9.90%,25.90%,0.166,0.308,0.245,0.322,0.411,0.319,102,-0.1,0.6,2.6,1.8
