#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
57,Merrill Kelly,ARI,11,9,0,29,29,169,8.02,2.7,1.19,0.294,73.60%,,3.94,4.03,2.2
58,Reid Detmers,LAA,9,9,0,34,24,145,9.85,3.27,1.17,0.293,71.50%,,4.08,3.87,2.2
59,Michael Wacha,KCR,10,11,0,29,29,164,7.01,2.64,1.23,0.29,70.90%,,4.31,4.33,2.1
60,Bailey Ober,MIN,8,9,0,28,28,155,8.12,2.13,1.48,0.289,71.30%,,4.31,4.28,2.1
61,Clay Holmes,NYM,10,9,0,28,28,153,7.37,3.36,0.79,0.302,71.90%,,3.89,3.93,2.1
62,Zac Gallen,ARI,13,11,0,31,31,182,8.4,2.92,1.14,0.295,72.20%,,4.03,3.98,2.1
63,Casey Mize,DET,9,9,0,28,28,145,8.02,2.52,1.2,0.294,72.20%,,4.05,4.02,2.1
64,Gerrit Cole,NYY,8,7,0,23,23,136,8.94,2.61,1.29,0.28,72.70%,,3.93,3.99,2.1
65,Gavin Williams,CLE,10,9,0,31,31,168,9.21,3.8,1.12,0.288,74.60%,,3.85,4.08,2.1
66,Trevor Rogers,BAL,9,8,0,26,26,142,7.74,2.92,1.1,0.296,71.90%,,4.08,4.08,2.1
67,Cody Ponce,TOR,9,8,0,44,23,154,8.82,2.68,1.23,0.294,71.90%,,4.05,3.96,2.1
68,Braxton Ashcraft,PIT,8,9,0,45,23,149,7.94,2.72,0.97,0.299,72.80%,,3.84,3.82,2
69,Shane Smith,CHW,8,10,0,29,29,160,8.45,3.39,1.17,0.286,71.00%,,4.19,4.28,2
70,Brandon Pfaadt,ARI,10,10,0,29,29,162,8,2.06,1.23,0.302,70.40%,,4.22,3.95,2
71,Jeffrey Springs,ATH,10,10,0,29,29,162,7.7,2.83,1.42,0.289,72.50%,,4.38,4.49,2
72,Luis Severino,ATH,9,11,0,29,29,171,7.2,2.84,1.21,0.294,69.30%,,4.48,4.42,2
73,Jack Leiter,TEX,9,9,0,28,28,148,8.58,3.69,1.18,0.281,71.00%,,4.29,4.29,2
74,Reynaldo López,ATL,10,8,0,38,24,146,9.06,3.12,1.07,0.294,73.40%,,3.82,3.79,2
75,Nolan McLean,NYM,10,8,0,26,26,145,8.7,3.49,0.94,0.29,72.40%,,3.82,3.93,2
76,Grayson Rodriguez,LAA,6,7,0,21,21,113,9.44,3.01,1.18,0.296,72.70%,,3.95,3.87,1.9
